	actual_label	prediction	abstract
0	Course	Course	 chiang hui su tr lab pm time cs
1	Non-Course	Non-Course	 tx austin address e robert email edu b phone cs
2	Non-Course	Non-Course	 ut bologna ph fax alvisi lorenzo taylor maria map show photo cst e thu professor fall edu feb interest research spring mail phone hall page home cs
3	Non-Course	Non-Course	 pure seitz represent irregular develop ray steve chang inform skip mean call top show chuck make dyer trace e run click correspond approach motion period g camera scene paper x use time
4	Non-Course	Non-Course	
5	Non-Course	Non-Course	 img thank visitor schwetman dr lifschitz vladimir austin vin harrick alt src visit l gif school user network logic number multimedia term page home cs
6	Course	Course	 susan teach assign inform fischer stat wednesday kapoor rahul horwitz tu tuth sci comp friday e read wisc monday get overview check email fall edu interest program tuesday instructor date use link text spring mail homework cs
7	Course	Course	 offset favor eat string thank bound find write market follow know begin assign chang api inform unix bin peterson feel option race buy char log colloquia chan tung star placement grain rob graph sept src primer contain excel author paragraph call top avoid show cpu oct cshrc wednesday watch solomon marvin dec edit make sun address seminar sci comp correct tr cdt sep todd wesley addison zhang cst e read wisc th detail think run disk demand monday end discuss output deadlock get score partner learn point code user send network fast support processor thu mwf random mon session check hand ta email web number java take fall copyright edu state standard order test g buffer help level meet section room bug access program c file tuesday instructor way name type date work pm use thursday link text time term space cover control crash design data credit nov tue mail phone hall news p page home cs
8	Non-Course	Non-Course	 ut hamilton harvard iowa ph teach inform maintain jr austin vol richard stanford editor wesley addison fall state year section interest program work b research use time term page home cs
9	Course	Course	 linear philadelphia theorem teach assign inform olvi uw etc kurt athena bazaraa siam l stat wednesday convex jye yuh lee h gradient edit n york e wisc ie michael monday overview mwf www http fall edu period order math r program c tuesday instructor week use thursday text mail homework page home cs
10	Course	Course	 follow teach assign inform etc ghost read ftp check site web fall viewer lab section file instructor work use page home cs
11	Non-Course	Non-Course	 cricket cool keep inform rate search take edu page home cs
12	Course	Course	 follow assign inform uw contain wisconsin cst gopher workbook architect mentor ii mr saluja kewal madison ece cae conduct hw click ftp get surf send check ta professor dan email server site fall help lab file date pm use link part design homework group news page home
13	Non-Course	Non-Course	 emerald springbok triptych fpga chinook layout gemini toolset develop usa clock perform tester vlsi assign cad wa box scale self multi placement map co washington well cost board chip today network level work research use time feedback design
14	Non-Course	Non-Course	 ut west bachelor emerson thank iit institut know inform tx austin street address contact e hi th fun logic check professor fall automata interest program research use phone page home
15	Non-Course	Non-Course	 ua email edu phone home cs
16	Non-Course	Non-Course	 linear parter pub wi ph fax mix pp vol siam w l h v york wisconsin madison wisc st dayton thu hand professor email number edu order interest algebra work research time part page home cs
17	Course	Course	 ask develop inform jim jeff fri savitch microsoft misconduct wisc click window overview fortran borland see email fall edu section program c algebra instructor use text feedback page home cs
18	Non-Course	Non-Course	 connect isaac univ gordon vita weather write usa ph fax grant diagram inform jr austin tay expert lisp address e scheme gnu demo run unit support professor server web edu state k program c x b research use link p cs
19	Non-Course	Non-Course	 smt jlo vliw philadelphia stamm rebecca lo fetch tullsen find jack susan dean ph fax jolla sigplan franklin joel wa sieg la box pa workshop symposium rd l j washington stanford well e june yahoo acm support processor submit www edu california level room interest parallel paper program work research design phone hall p page home cs
20	Course	Course	 assign inform read newsgroup send ta mail group page home cs
21	Course	Non-Course	 express play assign chang hunt peano gambit porter hope tay call lisp oct dec syntax school scheme run ftp fun symbol surf learn pc web background number take year math section program algebra work use data nov p cs
22	Course	Course	 osdi connect ipc lan clock liu inform sosp workshop rangan tay audio paul vol jeffay paradigm monterey symposium media anderson govindan speed self tm multi q howe shenker floyd diego berkeley mbone sigcomm domain inter core datagram multicast cheriton venkat swinehart kistler channel francisco san vic jacobson transport vin harrick log letter weight gupta w l j bach boston ibm ieee al h v jain well cost ms cdt sep zhang cst friday e read scheme th discuss acm mit moran network support processor thu face session submit f professor server http number august fall edu california k g color textbook et level meet multimedia r paper c instructor b research use base time vector control design model data mail phone p page cs
23	Non-Course	Non-Course	 ut group
24	Non-Course	Non-Course	 john page home
25	Non-Course	Non-Course	 matthai page home
26	Course	Non-Course	 joanna linear adam daniel find pde kevin kari joel corey cse brad apr mike w jonathan chuck h n seminar jim ii e matrix f dan april g r paper program c b data spring p
27	Non-Course	Non-Course	 czar nba sugata ny brian perform option address seminar contact e progress price smith take edu multimedia work design spring mail phone page home cs
28	Course	Course	 u cacm develop write filter zephyr add follow sieg chang winter cse inform script paul bring kurt mike show l co washington display index make html well address mosaic read detail discuss user send network review check see server site web edu meet room interest paper program file tuesday way work use link design mail page home cs
29	Non-Course	Non-Course	 u found ut univ fund texan loss deutsch vote vita ball death houston ny stephen prize bound soccer rice usa ph bob fax theorem teach peano qed prover boyer tx austin john ok mean w call richard photo dept zero e read pass gnu detail end peter symbol point approach microprocessor logic f robert professor email web reach edu state mccune k standard paper algebra x work use press time part data mail p page home cs
30	Non-Course	Non-Course	 richard
31	Course	Course	 north brian teach assign inform uw john stukel sundaram cole wednesday david martin isbn madison friday wisc mid monday mwf email fall edu state room c tuesday pm hill mcgraw thursday text term mail page home cs
32	Course	Course	 find assign inform mike understand stat make sci comp wesley addison savitch walter noland microsoft vectra misconduct e read wisc th window code greg thu mon check hand borland email fall edu lab section program c algebra tuesday instructor week work pm use text time nov tue mail phone page home cs
33	Course	Course	 cool follow hypertext visitor assign markup keep hypermedia quarter cse art inform contain html mosaic read click get send world browser ta professor web test year help lab room program use base mail homework page home cs
34	Course	Course	 connect brief represent assign ai search brain logic k vision program file use cs
35	Course	Course	 wolman connect fiuczynski romer sriram tiwari voelker franklin perform loew hypervisor feeley quarter cse hp sosp symposium anderson log chan oct dec friday read serverless discuss impact acm network meet access paper file base summer nov
36	Non-Course	Non-Course	 render layout gemini norm cool merl mitsubishi speak fine coast chairman bob fax snyder tester teach wa cse com inform maintain princeton workshop canada label menu graph contain ed call carl washington virginia index phd game contact e pass th bookmark ftp get fun chip user send network dan web edu year interest r parallel march work research use link time design data summer mail phone page home cs
37	Course	Course	 find assign proof inform lead understand call carl compress edit make well phd contact correct e el erlingsson úlfar newsgroup meng ee scheme tech hi conduct learn talk mit user nj sml ml fox competillo linda admin jgm morrisett greg thu mwf logic ta web java edu standard g math textbook interest program c instructor type work pm research use base link text design tue upson homework cs
38	Non-Course	Non-Course	 u ut xu cgi yuan gateway hong cai develop munich institut perl china winter yang lin yu austin engr wang chen client address ee yahoo logic server java r program break work link time spring p page cs
39	Non-Course	Non-Course	 ut mine sriram inform rao tx austin tay vin harrick contact e click send support email www edu interest multimedia file work research hill design mail group page home cs
40	Course	Course	 adam develop assign loew leveson sieg carlson winter cse inform wednesday washington comp friday risk monday send non ta professor edu standard test z textbook meet interest link time feedback design spring mail phone hall news page home cs
41	Non-Course	Non-Course	
42	Non-Course	Non-Course	 freedom ut tn linear altavista hotlist express hockey dell apt mine health hamilton weather religion america consortium cnn yellow congress respect zpl aka hypertext cam lin calvin tx austin taylor map inc csl boston make html address jeff cst mr van yahoo unit code world robert server www web edu state law parallel c algebra research press hill link hall page home cs
43	Course	Course	 latex hypermedia cse paul world web fall automata instructor page home
44	Non-Course	Non-Course	 linear barb marci guri arch amir metal valley pl nba love airport preprocessor multiscalar sohi bs yale find write wi guy institut fax know perform truth mar thing joe author show watch david cmu index sun seminar fri wisconsin mr madison read wisc st school think get score partner return talk point mac edu interest parallel program c file week work research use design model data group news page home cs
45	Non-Course	Non-Course	 emerald connect ne enjoy somehow poland pardyak przemyslaw bershad mine music grad find usa spin fax leadership brian wa etc washington fr school th run edu year interest paper program week work research base link time phone group page home cs
46	Non-Course	Non-Course	 geeta river kanpur india institut ph art tx austin contact st edu year research phone page home cs
47	Non-Course	Non-Course	 forget remolina u emilio vita usa fax tx austin tay paragraph well contact hi web edu c break page home cs
48	Non-Course	Non-Course	 csto west develop pi wi arpa antonio paradyn fax florida perform hypertext inform symposium san street contain oct bart css contact cdt wisconsin madison wisc st dayton get symbol acm approach see email edu jan level meet access staff parallel paper program use tue page home cs
49	Non-Course	Non-Course	 jeff page home
50	Non-Course	Non-Course	 court robust god found egypt london fee death kenneth develop werner tacoma follow know robbert firm speed platform weight visit call cost address e end van overview acm code user ml network support processor web java fall standard april level meet multimedia parallel paper c type research use base link time design model data spring group birman p page
